
E10		21096.16364242367550309387270698
#D10	19912.126958213178287127777236873
D10		18794.545146714083856818112887078
#C10	17739.688382519814159922325350477
C10		16744.036179238312619382399585492
B9		15804.265640195971578584145339483
#A9		14917.240368578877325030500152844
A9		14080
#G9		13289.750322558244432718137245879
G9		12543.853951415977410742384974715
#F9		11839.821526772300765878246705364
F9		11175.303405856124302252007700477
E9		10548.08182121183775154693635349
#D9		9956.0634791065891435638886184363
D9		9397.2725733570419284090564435386
#C9		8869.8441912599070799611626752387
C9		8372.0180896191563096911997927459
B8		7902.1328200979857892920726697414
#A8		7458.6201842894386625152500764222
A8		7040
#G8		6644.8751612791222163590686229394
G8		6271.9269757079887053711924873572
#F8		5919.9107633861503829391233526819
F8		5587.6517029280621511260038502385
E8		5274.0409106059188757734681767448
#D8		4978.0317395532945717819443092181
D8		4698.6362866785209642045282217692
#C8		4434.9220956299535399805813376194
C8		4186.009044809578154845599896373
B7		3951.0664100489928946460363348707
#A7		3729.3100921447193312576250382111
A7		3520
#G7		3322.4375806395611081795343114697
G7		3135.9634878539943526855962436786
#F7		2959.955381693075191469561676341
F7		2793.8258514640310755630019251193
E7		2637.0204553029594378867340883725
#D7		2489.0158697766472858909721546091
D7		2349.3181433392604821022641108847
#C7		2217.4610478149767699902906688097
C7		2093.0045224047890774227999481865
B6		1975.5332050244964473230181674354
#A6		1864.6550460723596656288125191056
A6		1760
#G6		1661.2187903197805540897671557349
G6		1567.9817439269971763427981218393
#F6		1479.9776908465375957347808381704
F6		1396.9129257320155377815009625596
E6		1318.5102276514797189433670441862
#D6		1244.5079348883236429454860773045
D6		1174.6590716696302410511320554423
#C6		1108.7305239074883849951453344048
C6		1046.5022612023945387113999740932
B5		987.76660251224822366150908371768
#A5		932.32752303617983281440625955278
A5		880
#G5		830.60939515989027704488357786743
G5		783.99087196349858817139906091965
#F5		739.98884542326879786739041908525
F5		698.45646286600776889075048127982
E5		659.25511382573985947168352209311
#D5		622.25396744416182147274303865227
D5		587.32953583481512052556602772116
#C5		554.36526195374419249757266720242
C5		523.25113060119726935569998704662
B4		493.88330125612411183075454185884
#A4		466.16376151808991640720312977639
A4		440
#G4		415.30469757994513852244178893372
G4		391.99543598174929408569953045983
#F4		369.99442271163439893369520954262
F4		349.22823143300388444537524063991
E4		329.62755691286992973584176104655
#D4		311.12698372208091073637151932613
D4		293.66476791740756026278301386058
#C4		277.18263097687209624878633360122
C4		261.62556530059863467784999352331
B3		246.94165062806205591537727092942
#A3		233.0818807590449582036015648882
A3		220
#G3		207.65234878997256926122089446686
G3		195.99771799087464704284976522991
#F3		184.99721135581719946684760477131
F3		174.61411571650194222268762031995
E3		164.81377845643496486792088052328
#D3		155.56349186104045536818575966307
D3		146.83238395870378013139150693029
#C3		138.59131548843604812439316680061
C3		130.81278265029931733892499676166
B2		123.47082531403102795768863546471
#A2		116.5409403795224791018007824441
A2		110
#G2		103.82617439498628463061044723343
G2		97.998858995437323521424882614956
#F2		92.498605677908599733423802385655
F2		87.307057858250971111343810159977
E2		82.406889228217482433960440261638
#D2		77.781745930520227684092879831533
D2		73.416191979351890065695753465145
#C2		69.295657744218024062196583400303
C2		65.406391325149658669462498380828
B1		61.735412657015513978844317732355
#A1		58.270470189761239550900391222049
A1		55
#G1		51.913087197493142315305223616714
G1		48.999429497718661760712441307478
#F1		46.249302838954299866711901192828
F1		43.653528929125485555671905079988
E1		41.20344461410874121698022013082
#D1		38.890872965260113842046439915767
D1		36.708095989675945032847876732573
#C1		34.647828872109012031098291700151
C1		32.703195662574829334731249190414
B		30.867706328507756989422158866177
#A		29.135235094880619775450195611024
A		27.5
#G		25.956543598746571157652611808357
G		24.499714748859330880356220653739
#F		23.124651419477149933355950596413
F		21.826764464562742777835952539994
E		20.601722307054370608490110065409
#D		19.445436482630056921023219957883
